Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000023.spe	224.00	7.33	1	0.010270	-0.010164	0.009073	0.081458	76145	1.62	70	616	0	176	5643	608	4008	79766	2683	207	761	896	54797	86	621	99	107	47	0	1264	1282	10596	269	1814	355	30	112	163	1506	4081	272	404	375	380	170	400	88498	24978	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000024.spe	226.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	75166	1.69	32	692	0	134	5129	637	3850	86753	2339	182	759	771	47883	203	650	61	186	0	0	1250	1291	10689	168	2428	339	0	154	156	1557	3966	172	182	162	178	113	372	88842	26229	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000025.spe	228.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	74283	1.55	43	696	0	144	5041	752	3682	71974	1981	187	837	1078	48128	347	606	0	278	0	0	1248	1490	10339	96	2620	314	12	115	182	1587	4063	294	213	10	162	208	115	88557	24918	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000026.spe	230.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	75781	1.64	71	1324	0	150	4556	645	4641	89856	2655	109	650	895	45648	318	696	116	132	180	0	1159	1356	9945	135	2951	415	0	98	206	1566	4097	186	135	105	223	216	19	88477	27934	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000027.spe	232.00	7.30	1	0.010270	-0.010164	0.009073	0.081458	74234	1.57	38	761	0	160	5133	656	3544	72693	2117	190	771	831	43222	0	630	0	271	89	0	1072	1237	9750	0	2259	343	0	125	171	1528	4262	100	371	307	268	184	368	89090	25073	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000028.spe	234.00	7.29	1	0.010270	-0.010164	0.009073	0.081458	73354	1.53	54	807	0	193	5351	666	3198	71628	1383	150	908	777	34613	291	766	0	189	184	0	1040	923	9269	6	2300	312	39	105	150	1431	4100	270	248	508	60	129	158	88890	26509	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000029.spe	236.00	7.28	1	0.010270	-0.010164	0.009073	0.081458	73756	1.60	58	1121	0	104	5025	590	3223	70548	2601	157	839	766	36346	185	819	0	0	0	0	1123	956	9009	0	1485	332	0	115	188	1677	4329	223	231	672	191	167	65	89542	23485	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000030.spe	238.00	7.28	1	0.010270	-0.010164	0.009073	0.081458	72897	1.62	51	822	0	148	5310	636	3019	60616	1411	133	817	720	38906	106	764	93	115	97	0	1078	1126	9383	0	1089	270	0	112	161	1599	4358	113	352	167	304	286	230	89851	22469	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000031.spe	240.00	7.28	1	0.010270	-0.010164	0.009073	0.081458	73890	1.53	47	960	0	181	5415	755	3143	72455	829	168	804	751	33515	28	791	75	357	107	0	848	1211	9350	0	971	272	0	159	284	1603	4498	206	217	405	259	177	274	92205	24855	0.179	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000032.spe	242.00	7.27	1	0.010270	-0.010164	0.009073	0.081458	72763	1.81	63	845	0	163	5364	667	3338	65075	815	77	1083	717	27848	543	614	0	346	105	0	1116	1241	8700	0	1420	233	0	147	179	1584	4891	271	338	0	0	48	0	90677	26808	0.180	
