Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000028.spe	156.00	7.90	1	0.010270	-0.010164	0.009073	0.081458	81563	1.93	75	3856	0	77	2343	1141	5200	171284	2056	146	722	772	43597	0	805	269	263	205	0	715	1018	10955	58	1873	803	0	178	239	1523	4563	180	58	301	500	140	309	86682	27236	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000029.spe	158.00	7.90	1	0.010270	-0.010164	0.009073	0.081458	81325	1.96	99	3348	0	128	2155	1196	5368	185537	1608	75	1100	758	45937	0	753	126	132	214	0	839	855	11775	0	1250	868	139	71	285	1322	4408	32	306	239	588	230	678	84271	25804	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000030.spe	160.00	7.90	1	0.010270	-0.010164	0.009073	0.081458	80904	2.04	115	3987	0	76	2241	1240	6353	164287	2218	57	632	660	40970	0	796	73	201	182	0	778	1097	11494	163	1525	620	101	122	245	1455	4763	168	568	375	434	218	485	87222	23095	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000031.spe	162.00	7.88	1	0.010270	-0.010164	0.009073	0.081458	82570	2.01	130	3110	0	51	2313	1224	5575	194623	2635	64	747	722	46946	50	824	63	131	57	0	762	1138	13115	176	2466	842	96	138	196	1293	4204	379	303	211	518	178	37	86024	24845	0.169	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000032.spe	164.00	7.89	1	0.010270	-0.010164	0.009073	0.081458	88706	2.02	110	3497	0	100	2350	1208	7940	197958	3388	246	849	1024	68770	0	798	61	316	159	0	862	1304	12024	107	3423	876	31	137	278	1629	4654	320	231	357	972	315	624	87299	26556	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000033.spe	166.00	7.87	1	0.010270	-0.010164	0.009073	0.081458	77383	1.88	114	3761	0	18	1914	1160	5704	151106	2588	119	732	818	47790	121	792	0	325	170	0	749	1264	10738	220	2381	651	105	120	265	1452	4161	195	27	33	436	214	298	83779	25831	0.168	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000034.spe	168.00	7.87	1	0.010270	-0.010164	0.009073	0.081458	77098	1.91	150	3179	0	33	1970	1263	7416	114669	3461	165	725	980	62443	332	713	69	185	101	0	758	1257	9986	301	3543	534	145	101	289	1434	3929	181	371	263	488	337	47	84588	24134	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000035.spe	170.00	7.86	1	0.010270	-0.010164	0.009073	0.081458	86769	1.79	119	2494	0	98	6624	1052	9481	149947	6350	130	1079	1598	106658	480	729	335	858	197	0	1237	1512	11119	388	2666	692	113	64	326	1268	3720	164	344	423	856	511	0	80915	25678	0.167	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000036.spe	172.00	7.85	1	0.010270	-0.010164	0.009073	0.081458	84505	1.99	105	3118	0	33	2078	1087	8032	168305	4448	149	1053	1169	82620	54	658	86	339	200	0	851	1422	11304	154	2776	779	227	0	276	1355	4478	196	303	128	852	254	109	80728	24119	0.167	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000037.spe	174.00	7.88	1	0.010270	-0.010164	0.009073	0.081458	84411	1.97	147	4159	0	112	2095	1223	6927	142695	3271	204	853	1046	65149	0	804	152	388	303	0	712	1519	10356	109	2501	713	180	127	344	1524	4726	136	289	166	860	230	1100	88378	26038	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000038.spe	176.00	7.87	1	0.010270	-0.010164	0.009073	0.081458	76225	1.84	132	4221	0	79	1839	1369	6291	118470	2610	141	762	770	51226	181	883	142	330	142	0	551	1403	8773	61	1618	545	124	116	313	1532	4584	221	227	91	345	227	252	85113	25712	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000039.spe	178.00	7.83	1	0.010270	-0.010164	0.009073	0.081458	79012	1.77	113	3590	0	51	2025	1074	7192	116197	3014	199	861	813	67323	0	790	232	326	301	0	804	1293	9934	427	2066	493	127	86	320	1385	4128	261	0	290	545	327	607	88085	26620	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000040.spe	180.00	7.85	1	0.010270	-0.010164	0.009073	0.081458	89010	1.81	104	2076	0	57	2603	1142	9078	154291	4814	205	1018	1332	105974	0	719	78	421	0	0	1619	1445	12186	458	2530	675	66	116	197	1445	3786	137	461	375	856	461	1158	84861	22072	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000041.spe	182.00	7.87	1	0.010270	-0.010164	0.009073	0.081458	90673	1.94	123	2361	0	123	2709	1250	8737	171001	4734	185	798	1342	100163	244	836	435	496	329	0	1884	1527	12820	501	2099	824	70	147	313	1258	4050	366	302	612	855	450	276	87750	24722	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000042.spe	184.00	7.87	1	0.010270	-0.010164	0.009073	0.081458	86576	1.89	110	3128	0	97	2456	1183	8522	154109	4059	172	894	1211	82295	0	745	209	367	213	114	1371	1382	12330	268	2187	668	122	83	314	1495	4381	120	328	587	845	305	1067	87003	26431	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000043.spe	186.00	7.86	1	0.010270	-0.010164	0.009073	0.081458	84729	1.94	117	3477	0	130	2239	1268	7460	170027	3151	247	1032	951	66820	0	750	242	375	259	0	1139	1363	11926	69	2229	704	49	171	343	1447	4544	19	276	288	821	338	885	85345	25764	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000044.spe	188.00	7.83	1	0.010270	-0.010164	0.009073	0.081458	78965	1.98	107	3277	0	104	1954	1164	6458	150389	2471	195	1027	778	53915	195	761	116	286	153	0	1052	1417	11470	105	1345	736	93	168	278	1421	4269	189	542	334	547	151	44	84904	24677	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000045.spe	190.00	7.84	1	0.010270	-0.010164	0.009073	0.081458	83917	2.02	76	3441	0	86	2199	1162	7266	165062	2228	229	956	873	62816	529	805	214	339	0	0	1030	1573	11965	201	1463	743	107	129	285	1500	4238	73	215	0	500	339	0	85588	27390	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000046.spe	192.00	7.85	1	0.010270	-0.010164	0.009073	0.081458	80121	2.19	122	3155	0	63	2230	1239	7138	133113	3120	83	821	1286	63430	0	849	106	333	235	0	841	1400	9066	0	2053	579	117	194	278	1482	5203	156	348	85	697	260	286	83510	21104	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000047.spe	194.00	7.85	1	0.010270	-0.010164	0.009073	0.081458	78410	1.90	110	3456	0	62	1702	1129	7270	110733	3346	163	793	918	66175	0	685	125	383	62	0	1035	1415	10464	160	2385	555	125	167	310	1481	4521	382	223	353	683	266	539	86093	24354	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000048.spe	196.00	7.86	1	0.010270	-0.010164	0.009073	0.081458	84053	2.03	111	4075	0	95	2199	1217	7673	143346	3691	73	658	931	65554	0	824	270	554	331	0	1142	1280	10162	171	1662	696	162	164	299	1515	4796	234	366	658	815	257	1114	88512	25555	0.173	
