x Distance [mm]	Height [cm]
 99.225 	 7.324 
 99.415 	 7.327 
 99.600 	 7.324 
 99.790 	 7.319 
 99.975 	 7.322 
 100.165 	 7.327 
 100.355 	 7.326 
 100.540 	 7.327 
 100.730 	 7.334 
 100.915 	 7.336 
 101.105 	 7.334 
 101.295 	 7.334 
 101.480 	 7.334 
 101.670 	 7.334 
 101.855 	 7.337 
 102.045 	 7.336 
 102.235 	 7.334 
 102.420 	 7.339 
 102.610 	 7.341 
 102.795 	 7.336 
 102.985 	 7.340 
 103.175 	 7.344 
 103.360 	 7.340 
 103.550 	 7.342 
 103.735 	 7.344 
 103.925 	 7.341 
 104.115 	 7.342 
 104.300 	 7.347 
 104.490 	 7.346 
 104.675 	 7.347 
 104.865 	 7.345 
 105.055 	 7.340 
 105.240 	 7.342 
 105.430 	 7.344 
 105.615 	 7.341 
 105.805 	 7.339 
 105.995 	 7.337 
 106.180 	 7.336 
 106.370 	 7.342 
 106.555 	 7.341 
 106.745 	 7.347 
 106.935 	 7.344 
 107.120 	 7.344 
 107.310 	 7.344 
 107.495 	 7.345 
 107.685 	 7.347 
 107.875 	 7.344 
 108.060 	 7.346 
 108.250 	 7.349 
 108.435 	 7.349 
 108.625 	 7.350 
 108.815 	 7.352 
 109.000 	 7.350 
 109.190 	 7.353 
 109.375 	 7.350 
 109.565 	 7.352 
 109.755 	 7.349 
 109.940 	 7.349 
 110.130 	 7.349 
 110.315 	 7.349 
 110.505 	 7.349 
 110.695 	 7.349 
 110.880 	 7.349 
 111.070 	 7.352 
 111.255 	 7.349 
 111.445 	 7.347 
 111.635 	 7.344 
 111.820 	 7.346 
 112.010 	 7.352 
 112.195 	 7.350 
 112.385 	 7.354 
 112.575 	 7.352 
 112.760 	 7.349 
 112.950 	 7.349 
 113.135 	 7.347 
 113.325 	 7.341 
 113.515 	 7.344 
 113.700 	 7.344 
 113.890 	 7.345 
 114.075 	 7.351 
 114.265 	 7.358 
 114.455 	 7.358 
 114.640 	 7.354 
 114.830 	 7.352 
 115.015 	 7.344 
 115.205 	 7.342 
 115.395 	 7.341 
 115.580 	 7.339 
 115.770 	 7.334 
 115.955 	 7.336 
 116.145 	 7.340 
 116.335 	 7.345 
 116.520 	 7.349 
 116.710 	 7.341 
 116.895 	 7.344 
 117.085 	 7.337 
 117.275 	 7.344 
 117.460 	 7.344 
 117.650 	 7.342 
 117.835 	 7.338 
 118.025 	 7.335 
 118.215 	 7.336 
 118.400 	 7.329 
 118.590 	 7.330 
 118.775 	 7.333 
 118.965 	 7.332 
 119.155 	 7.336 
 119.340 	 7.334 
 119.530 	 7.332 
 119.715 	 7.327 
 119.905 	 7.324 
 120.095 	 7.318 
 120.280 	 7.310 
 120.470 	 7.310 
 120.655 	 7.310 
 120.845 	 7.312 
 121.035 	 7.319 
 121.220 	 7.321 
 121.410 	 7.323 
 121.595 	 7.321 
 121.785 	 7.324 
 121.975 	 7.324 
 122.160 	 7.324 
 122.350 	 7.321 
 122.535 	 7.326 
 122.725 	 7.331 
 122.915 	 7.335 
 123.100 	 7.341 
 123.290 	 7.339 
 123.475 	 7.334 
 123.665 	 7.340 
 123.855 	 7.341 
 124.040 	 7.342 
 124.230 	 7.341 
 124.415 	 7.339 
 124.605 	 7.339 
 124.795 	 7.342 
 124.980 	 7.344 
 125.170 	 7.344 
 125.355 	 7.347 
 125.545 	 7.346 
 125.735 	 7.346 
 125.920 	 7.352 
 126.110 	 7.351 
 126.295 	 7.346 
 126.485 	 7.344 
 126.675 	 7.341 
 126.860 	 7.346 
 127.050 	 7.349 
 127.235 	 7.349 
 127.425 	 7.352 
 127.615 	 7.351 
 127.800 	 7.349 
 127.990 	 7.352 
 128.175 	 7.354 
 128.365 	 7.351 
 128.555 	 7.349 
 128.740 	 7.351 
 128.930 	 7.350 
 129.115 	 7.349 
 129.305 	 7.349 
 129.495 	 7.349 
 129.680 	 7.349 
 129.870 	 7.349 
 130.055 	 7.349 
 130.245 	 7.352 
 130.435 	 7.351 
 130.620 	 7.355 
 130.810 	 7.355 
 130.995 	 7.350 
 131.185 	 7.349 
 131.375 	 7.352 
 131.560 	 7.348 
 131.750 	 7.344 
 131.935 	 7.347 
 132.125 	 7.349 
 132.315 	 7.352 
 132.500 	 7.346 
 132.690 	 7.355 
 132.875 	 7.355 
 133.065 	 7.354 
 133.255 	 7.354 
 133.440 	 7.350 
 133.630 	 7.349 
 133.815 	 7.352 
 134.005 	 7.351 
 134.195 	 7.346 
 134.380 	 7.347 
 134.570 	 7.345 
 134.755 	 7.344 
 134.945 	 7.340 
 135.135 	 7.339 
 135.320 	 7.342 
 135.510 	 7.344 
 135.695 	 7.341 
 135.885 	 7.335 
 136.075 	 7.334 
 136.260 	 7.334 
 136.450 	 7.334 
 136.635 	 7.329 
 136.825 	 7.324 
 137.015 	 7.318 
 137.200 	 7.320 
 137.390 	 7.330 
 137.575 	 7.331 
 137.765 	 7.329 
 137.955 	 7.332 
 138.140 	 7.331 
 138.330 	 7.323 
 138.515 	 7.316 
 138.705 	 7.318 
 138.895 	 7.319 
 139.080 	 7.319 
 139.270 	 7.319 
 139.455 	 7.322 
 139.645 	 7.318 
 139.835 	 7.318 
 140.020 	 7.316 
 140.210 	 7.318 
 140.395 	 7.322 
 140.585 	 7.324 
 140.775 	 7.324 
 140.960 	 7.324 
 141.150 	 7.324 
 141.335 	 7.315 
 141.525 	 7.313 
 141.715 	 7.321 
 141.900 	 7.317 
 142.090 	 7.307 
 142.275 	 7.309 
 142.465 	 7.313 
 142.655 	 7.318 
 142.840 	 7.325 
 143.030 	 7.329 
 143.215 	 7.332 
 143.405 	 7.328 
 143.595 	 7.321 
 143.780 	 7.319 
 143.970 	 7.324 
 144.155 	 7.324 
 144.345 	 7.324 
 144.535 	 7.321 
 144.720 	 7.319 
 144.910 	 7.312 
 145.095 	 7.310 
 145.285 	 7.310 
 145.475 	 7.306 
 145.660 	 7.298 
 145.850 	 7.299 
 146.035 	 7.303 
 146.225 	 7.305 
 146.415 	 7.308 
 146.600 	 7.314 
 146.790 	 7.311 
 146.975 	 7.314 
 147.165 	 7.318 
 147.355 	 7.315 
 147.540 	 7.311 
 147.730 	 7.313 
 147.915 	 7.314 
 148.105 	 7.311 
 148.295 	 7.310 
 148.480 	 7.310 
 148.670 	 7.313 
 148.855 	 7.310 
 149.045 	 7.310 
 149.235 	 7.310 
 149.420 	 7.306 
 149.610 	 7.313 
 149.795 	 7.304 
 149.985 	 7.304 
 150.175 	 7.301 
 150.360 	 7.300 
 150.550 	 7.296 
 150.735 	 7.295 
 150.925 	 7.299 
 151.115 	 7.303 
 151.300 	 7.300 
 151.490 	 7.300 
 151.675 	 7.300 
 151.865 	 7.300 
 152.055 	 7.296 
 152.240 	 7.295 
 152.430 	 7.299 
 152.615 	 7.300 
 152.805 	 7.296 
 152.995 	 7.291 
 153.180 	 7.294 
 153.370 	 7.299 
 153.555 	 7.296 
 153.745 	 7.291 
 153.935 	 7.286 
 154.120 	 7.282 
 154.310 	 7.280 
 154.495 	 7.280 
 154.685 	 7.289 
 154.875 	 7.294 
 155.060 	 7.295 
 155.250 	 7.295 
 155.435 	 7.291 
 155.625 	 7.290 
 155.815 	 7.286 
 156.000 	 7.285 
 156.190 	 7.290 
 156.375 	 7.290 
 156.565 	 7.290 
 156.755 	 7.290 
 156.940 	 7.286 
 157.130 	 7.285 
 157.315 	 7.289 
 157.505 	 7.290 
 157.695 	 7.294 
 157.880 	 7.295 
 158.070 	 7.303 
 158.255 	 7.297 
 158.445 	 7.302 
 158.635 	 7.297 
 158.820 	 7.295 
 159.010 	 7.295 
 159.195 	 7.287 
 159.385 	 7.285 
 159.575 	 7.285 
 159.760 	 7.281 
 159.950 	 7.287 
 160.135 	 7.290 
 160.325 	 7.283 
 160.515 	 7.284 
 160.700 	 7.282 
 160.890 	 7.284 
 161.075 	 7.281 
 161.265 	 7.285 
 161.455 	 7.276 
 161.640 	 7.284 
 161.830 	 7.285 
 162.015 	 7.290 
 162.205 	 7.290 
 162.395 	 7.286 
 162.580 	 7.285 
 162.770 	 7.285 
 162.955 	 7.285 
 163.145 	 7.285 
 163.335 	 7.289 
 163.520 	 7.283 
 163.710 	 7.280 
 163.895 	 7.284 
 164.085 	 7.281 
 164.275 	 7.284 
 164.460 	 7.281 
 164.650 	 7.284 
 164.835 	 7.285 
 165.025 	 7.285 
 165.215 	 7.285 
 165.400 	 7.289 
 165.590 	 7.286 
 165.775 	 7.289 
 165.965 	 7.286 
 166.155 	 7.285 
 166.340 	 7.285 
 166.530 	 7.281 
 166.715 	 7.280 
 166.905 	 7.280 
 167.095 	 7.280 
 167.280 	 7.280 
 167.470 	 7.276 
 167.655 	 7.275 
 167.845 	 7.275 
 168.035 	 7.275 
 168.220 	 7.280 
 168.410 	 7.280 
 168.595 	 7.289 
 168.785 	 7.294 
 168.975 	 7.295 
 169.160 	 7.291 
 169.350 	 7.295 
 169.535 	 7.295 
 169.725 	 7.295 
 169.915 	 7.299 
 170.100 	 7.304 
 170.290 	 7.305 
 170.475 	 7.309 
 170.665 	 7.310 
 170.855 	 7.314 
 171.040 	 7.305 
 171.230 	 7.305 
 171.415 	 7.305 
 171.605 	 7.309 
 171.795 	 7.310 
 171.980 	 7.313 
 172.170 	 7.314 
 172.355 	 7.310 
 172.545 	 7.317 
 172.735 	 7.310 
 172.920 	 7.310 
 173.110 	 7.305 
 173.295 	 7.305 
 173.485 	 7.309 
 173.675 	 7.314 
 173.860 	 7.314 
 174.050 	 7.318 
 174.235 	 7.319 
 174.425 	 7.319 
 174.615 	 7.310 
 174.800 	 7.310 
 174.990 	 7.314 
 175.175 	 7.306 
 175.365 	 7.309 
 175.555 	 7.310 
 175.740 	 7.306 
 175.930 	 7.305 
 176.115 	 7.295 
 176.305 	 7.291 
 176.495 	 7.295 
 176.680 	 7.291 
 176.870 	 7.285 
 177.055 	 7.293 
 177.245 	 7.295 
 177.435 	 7.295 
 177.620 	 7.295 
 177.810 	 7.295 
 177.995 	 7.286 
 178.185 	 7.281 
 178.375 	 7.275 
 178.560 	 7.280 
 178.750 	 7.276 
 178.935 	 7.279 
 179.125 	 7.271 
 179.315 	 7.278 
 179.500 	 7.276 
 179.690 	 7.275 
 179.875 	 7.280 
 180.065 	 7.280 
 180.255 	 7.280 
 180.440 	 7.280 
 180.630 	 7.266 
 180.815 	 7.278 
 181.005 	 7.275 
 181.195 	 7.271 
 181.380 	 7.267 
 181.570 	 7.270 
 181.755 	 7.262 
 181.945 	 7.265 
 182.135 	 7.261 
 182.320 	 7.269 
 182.510 	 7.271 
 182.695 	 7.267 
 182.885 	 7.266 
 183.075 	 7.261 
 183.260 	 7.261 
 183.450 	 7.270 
 183.635 	 7.266 
 183.825 	 7.271 
 184.015 	 7.271 
 184.200 	 7.278 
 184.390 	 7.276 
 184.575 	 7.280 
 184.765 	 7.276 
 184.955 	 7.271 
 185.140 	 7.258 
 185.330 	 7.251 
 185.515 	 7.247 
 185.705 	 7.246 
 185.895 	 7.242 
 186.080 	 7.246 
 186.270 	 7.246 
 186.455 	 7.256 
 186.645 	 7.256 
 186.835 	 7.256 
 187.020 	 7.256 
 187.210 	 7.260 
 187.395 	 7.261 
 187.585 	 7.265 
 187.775 	 7.261 
 187.960 	 7.261 
 188.150 	 7.247 
 188.335 	 7.255 
 188.525 	 7.256 
 188.715 	 7.260 
 188.900 	 7.265 
 189.090 	 7.270 
 189.275 	 7.271 
 189.465 	 7.262 
 189.655 	 7.266 
 189.840 	 7.265 
 190.030 	 7.262 
 190.215 	 7.266 
 190.405 	 7.257 
 190.595 	 7.261 
 190.780 	 7.257 
 190.970 	 7.261 
 191.155 	 7.265 
 191.345 	 7.266 
 191.535 	 7.269 
 191.720 	 7.266 
 191.910 	 7.266 
 192.095 	 7.261 
 192.285 	 7.257 
 192.475 	 7.256 
 192.660 	 7.256 
 192.850 	 7.261 
 193.035 	 7.265 
 193.225 	 7.256 
 193.415 	 7.260 
 193.600 	 7.256 
 193.790 	 7.256 
 193.975 	 7.261 
 194.165 	 7.257 
 194.355 	 7.256 
 194.540 	 7.260 
 194.730 	 7.256 
 194.915 	 7.252 
 195.105 	 7.256 
 195.295 	 7.251 
 195.480 	 7.251 
 195.670 	 7.251 
 195.855 	 7.256 
 196.045 	 7.256 
 196.235 	 7.256 
 196.420 	 7.251 
 196.610 	 7.251 
 196.795 	 7.251 
 196.985 	 7.251 
 197.175 	 7.246 
 197.360 	 7.246 
 197.550 	 7.242 
 197.735 	 7.236 
 197.925 	 7.240 
 198.115 	 7.241 
 198.300 	 7.241 
 198.490 	 7.236 
 198.675 	 7.236 
 198.865 	 7.232 
 199.055 	 7.236 
 199.240 	 7.236 
 199.430 	 7.242 
 199.615 	 7.251 
 199.805 	 7.251 
 199.995 	 7.251 
 200.180 	 7.251 
 200.370 	 7.236 
 200.555 	 7.232 
 200.745 	 7.231 
 200.935 	 7.227 
 201.120 	 7.221 
 201.310 	 7.217 
 201.495 	 7.222 
 201.685 	 7.222 
 201.875 	 7.216 
 202.060 	 7.212 
 202.250 	 7.207 
 202.435 	 7.203 
 202.625 	 7.202 
 202.815 	 7.207 
 203.000 	 7.197 
 203.190 	 7.197 
 203.375 	 7.198 
 203.565 	 7.202 
 203.755 	 7.202 
 203.940 	 7.202 
 204.130 	 7.202 
 204.315 	 7.207 
 204.505 	 7.203 
 204.695 	 7.197 
 204.880 	 7.193 
 205.070 	 7.197 
 205.255 	 7.193 
 205.445 	 7.206 
 205.635 	 7.197 
 205.820 	 7.197 
 206.010 	 7.198 
 206.195 	 7.202 
 206.385 	 7.202 
 206.575 	 7.202 
 206.760 	 7.189 
 206.950 	 7.197 
 207.135 	 7.197 
 207.325 	 7.193 
 207.515 	 7.188 
 207.700 	 7.192 
 207.890 	 7.183 
 208.075 	 7.174 
 208.265 	 7.178 
 208.455 	 7.182 
 208.640 	 7.183 
 208.830 	 7.183 
 209.015 	 7.178 
 209.205 	 7.182 
 209.395 	 7.178 
 209.580 	 7.182 
 209.770 	 7.178 
 209.955 	 7.178 
 210.145 	 7.178 
 210.335 	 7.173 
 210.520 	 7.173 
 210.710 	 7.173 
 210.895 	 7.178 
 211.085 	 7.172 
 211.275 	 7.168 
 211.460 	 7.163 
 211.650 	 7.168 
 211.835 	 7.168 
 212.025 	 7.168 
 212.215 	 7.172 
 212.400 	 7.168 
 212.590 	 7.164 
 212.775 	 7.173 
 212.965 	 7.169 
 213.155 	 7.173 
 213.340 	 7.177 
 213.530 	 7.178 
 213.715 	 7.178 
 213.905 	 7.173 
 214.095 	 7.173 
 214.280 	 7.173 
 214.470 	 7.173 
 214.655 	 7.168 
 214.845 	 7.168 
 215.035 	 7.168 
 215.220 	 7.178 
 215.410 	 7.173 
 215.595 	 7.173 
 215.785 	 7.173 
 215.975 	 7.172 
 216.160 	 7.163 
 216.350 	 7.158 
