,Si,clusters,filename
44,1313,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000044.spe
45,1322,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000045.spe
46,1251,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000046.spe
47,1238,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000047.spe
48,1124,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000048.spe
49,923,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000049.spe
50,1253,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000050.spe
51,1211,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000051.spe
52,1143,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000052.spe
53,1304,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000053.spe
54,1216,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000054.spe
55,887,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000055.spe
56,1225,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000056.spe
57,1396,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000057.spe
58,1298,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000058.spe
59,1259,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000059.spe
60,1324,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000060.spe
61,1150,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000061.spe
62,1048,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000062.spe
63,1160,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000063.spe
64,1234,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000064.spe
65,1060,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000065.spe
66,1120,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000066.spe
67,1204,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000067.spe
68,1235,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000068.spe
69,1195,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000069.spe
70,1061,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000070.spe
71,1139,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000071.spe
72,1170,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000072.spe
73,1125,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000073.spe
74,1151,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000074.spe
75,1174,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000075.spe
76,1083,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000076.spe
77,1292,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000077.spe
78,1178,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000078.spe
79,1222,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000079.spe
80,1220,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000080.spe
81,1313,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000081.spe
82,1385,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000082.spe
83,1276,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000083.spe
84,1233,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000084.spe
85,1276,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000085.spe
86,1253,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000086.spe
87,1242,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000087.spe
88,1214,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000088.spe
89,1306,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000089.spe
90,1306,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000090.spe
91,1365,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000091.spe
92,1156,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000092.spe
93,1015,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000093.spe
94,1277,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000094.spe
95,1362,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000095.spe
96,1302,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000096.spe
97,1305,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000097.spe
