,position_corr,Ca,Si,Fe,Sr,Ti,clusters
304,288.0,46042,858,25631,7076,749,1.0
305,288.0,46042,858,25631,7076,749,0.0
306,290.0,44715,848,28305,6883,1126,0.0
307,292.0,70569,846,28407,9375,1143,1.0
308,292.0,70569,846,28407,9375,1143,1.0
309,292.0,70569,846,28407,9375,1143,0.0
310,292.0,70569,846,28407,9375,1143,0.0
311,292.0,70569,846,28407,9375,1143,0.0
312,292.0,70569,846,28407,9375,1143,0.0
313,292.0,70569,846,28407,9375,1143,1.0
314,292.0,70569,846,28407,9375,1143,1.0
315,294.0,81554,846,24032,10283,1033,1.0
316,294.0,81554,846,24032,10283,1033,1.0
317,294.0,81554,846,24032,10283,1033,0.0
318,294.0,81554,846,24032,10283,1033,0.0
319,294.0,81554,846,24032,10283,1033,0.0
320,294.0,81554,846,24032,10283,1033,0.0
321,294.0,81554,846,24032,10283,1033,1.0
322,294.0,81554,846,24032,10283,1033,1.0
323,296.0,76461,979,28878,9424,1124,1.0
324,296.0,76461,979,28878,9424,1124,1.0
325,296.0,76461,979,28878,9424,1124,0.0
326,296.0,76461,979,28878,9424,1124,1.0
327,296.0,76461,979,28878,9424,1124,0.0
328,296.0,76461,979,28878,9424,1124,1.0
329,296.0,76461,979,28878,9424,1124,1.0
330,296.0,76461,979,28878,9424,1124,1.0
331,296.0,76461,979,28878,9424,1124,1.0
332,298.0,58295,954,29283,8160,1057,1.0
333,298.0,58295,954,29283,8160,1057,1.0
334,298.0,58295,954,29283,8160,1057,1.0
335,298.0,58295,954,29283,8160,1057,0.0
336,298.0,58295,954,29283,8160,1057,1.0
337,298.0,58295,954,29283,8160,1057,1.0
338,298.0,58295,954,29283,8160,1057,1.0
339,300.0,71978,877,34547,10018,916,1.0
340,300.0,71978,877,34547,10018,916,0.0
341,302.0,89126,799,35102,11049,1543,0.0
342,302.0,89126,799,35102,11049,1543,0.0
343,302.0,89126,799,35102,11049,1543,0.0
344,304.0,86591,808,35290,11266,1088,0.0
345,304.0,86591,808,35290,11266,1088,1.0
346,304.0,86591,808,35290,11266,1088,1.0
347,306.0,83547,748,39713,11622,1341,0.0
348,306.0,83547,748,39713,11622,1341,0.0
349,308.0,83533,651,41661,10395,1844,0.0
350,308.0,83533,651,41661,10395,1844,0.0
351,310.0,80030,876,40536,10041,1629,1.0
352,310.0,80030,876,40536,10041,1629,1.0
353,310.0,80030,876,40536,10041,1629,1.0
354,310.0,80030,876,40536,10041,1629,0.0
355,310.0,80030,876,40536,10041,1629,0.0
356,310.0,80030,876,40536,10041,1629,1.0
357,310.0,80030,876,40536,10041,1629,1.0
358,312.0,89136,927,32678,10168,1418,1.0
359,312.0,89136,927,32678,10168,1418,1.0
